sub_ID,Q6_consent,Q8_covid_info,Q9_covid_knowledge,Q10_rank_attention_to_news,Q13_1_trust_doctor_news,Q13_trust_hospital_news,Q13_trust_cdc_news,Q13_trust_government_news,Q14_confidence_us_government,Q16_Belief_scientists_understand_covid,Q17_concerned_outbreak,Q18_likely_to_catch_covid,Q20_ability_to_protect_self,Q21_expected_symptom_severity,Q101_confidence_in_authority,Q23_risk_exaggerated,Q27_wearing_mask,Q35_take_vaccine_,Q40_age,Q40_age_bin,Q41_gender,Q74_education,Q84_community,Q43_health_1_5_,Q39_flu_vaccine,Q44_contact_covid,Q85_pre_exisiting_conditions,Q92_friends_family_preexisiting_conditions
972,1,A lot, A moderate amount,6,FALSE,FALSE,TRUE,FALSE,4,4,A lot,70,81,3,51,somewhat disagree,everyone,probably,44,40-44,m,some college,suburb,3,TRUE,unsure,no,no
973,1, A moderate amount, A moderate amount,5,FALSE,FALSE,TRUE,FALSE,2,4,Not at all,40,77,4,33,strongly disagree,everyone,probably,18,18-19,f,some college,suburb,4,FALSE,no,no,no
978,1,A lot, A moderate amount,7,FALSE,FALSE,FALSE,FALSE,3,8, A moderate amount,30,70,2,70,somewhat disagree,everyone,definitely,34,30-34,f,professional degree,large city,4,TRUE,no,no,yes
979,1,A lot, A moderate amount,10,FALSE,FALSE,FALSE,FALSE,5,7,A lot,80,100,3,50,strongly disagree,everyone,definitely,48,45-49,f,professional degree,large city,4,TRUE,no,no,yes
980,1,A lot, A moderate amount,10,NA,NA,NA,NA,2,8,A lot,86,75,6,71,strongly disagree,everyone,definitely,46,45-49,f,professional degree,suburb,2,TRUE,no,yes,yes
981,1,A lot, A moderate amount,6,FALSE,FALSE,TRUE,FALSE,2,7,A lot,51,71,3,40,strongly disagree,everyone,definitely,71,70-74,f,professional degree,large city,2,TRUE,no,yes,no
983,1,A lot, A moderate amount,10,FALSE,FALSE,FALSE,FALSE,5,8,A lot,75,57,5,31,strongly disagree,everyone,definitely,56,55-59,f, 4 year degree,suburb,3,TRUE,no,unsure,yes
984,1,A lot, A moderate amount,7,FALSE,FALSE,TRUE,FALSE,6,6,A lot,35,80,5,49,strongly disagree,everyone,definitely,48,45-49,f, 4 year degree,small city/town,3,FALSE,no,yes,yes
985,1, A moderate amount, A moderate amount,9,FALSE,FALSE,FALSE,FALSE,0,7, A moderate amount,30,82,4,51,strongly disagree,everyone,unsure,65,65-69,f, 4 year degree,rural area,3,FALSE,unsure,no,yes
988,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,5,7, A moderate amount,91,85,3,50,strongly disagree,everyone,definitely,19,18-19,f,some college,large city,4,FALSE,no,no,yes
989,1,A lot, A moderate amount,6,FALSE,FALSE,TRUE,FALSE,4,3,A lot,48,78,4,36,strongly disagree,everyone,probably,41,40-44,f,some college,large city,2,TRUE,unsure,unsure,unsure
993,1,A lot, A moderate amount,9,FALSE,FALSE,FALSE,TRUE,8,7,A lot,30,100,3,80,strongly disagree,everyone,definitely,18,18-19,m,some college,large city,5,TRUE,no,no,yes
994,1, A moderate amount, A moderate amount,5,FALSE,FALSE,FALSE,FALSE,1,1,A lot,3,81,5,20,somewhat disagree,everyone,probably_not,24,20-24,f,some college,large city,3,FALSE,yes,yes,yes
995,1,A lot, A moderate amount,8,FALSE,FALSE,TRUE,FALSE,2,5, A moderate amount,55,71,4,31,strongly disagree,everyone,definitely,35,35-39,f,professional degree,small city/town,3,FALSE,no,no,yes
996,1,A lot, A moderate amount,10,TRUE,FALSE,FALSE,FALSE,1,6,A lot,30,60,3,30,somewhat disagree,everyone,definitely,66,65-69,m,professional degree,small city/town,3,TRUE,no,no,no
997,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,3,6,Not at all,63,85,3,10,strongly disagree,everyone,unsure,26,25-29,f,professional degree,large city,3,FALSE,no,no,unsure
998,1,A lot, A moderate amount,8,FALSE,FALSE,FALSE,FALSE,0,5,A lot,6,82,1,11,strongly agree,sick people,defintely not,39,35-39,m,doctorate,suburb,5,FALSE,yes,no,no
999,1,A lot, A moderate amount,5,FALSE,FALSE,FALSE,FALSE,2,7,A lot,70,85,3,40,strongly disagree,everyone,definitely,28,25-29,nb, 4 year degree,suburb,3,TRUE,no,no,yes
1000,1, A moderate amount,A little,4,FALSE,TRUE,TRUE,FALSE,2,6,A little,70,60,3,40,somewhat disagree,everyone,probably,27,25-29,f, 4 year degree,suburb,3,FALSE,no,unsure,yes
1005,1, A moderate amount,A little,6,FALSE,FALSE,FALSE,FALSE,6,4, A moderate amount,75,60,3,49,somewhat disagree,everyone,definitely,27,25-29,m, 4 year degree,large city,4,TRUE,unsure,no,yes
1013,1,A lot,A little,5,FALSE,FALSE,FALSE,FALSE,3,6,A little,5,60,3,52,strongly disagree,everyone,definitely,19,18-19,f,highschool graduate,rural area,4,FALSE,no,no,unsure
1015,1,A lot, A moderate amount,9,TRUE,FALSE,TRUE,FALSE,4,7, A moderate amount,42,69,3,25,strongly disagree,everyone,unsure,30,30-34,f,2 year degree,rural area,5,TRUE,no,no,yes
1017,1,A lot,A lot,8,FALSE,TRUE,FALSE,FALSE,6,7, A moderate amount,70,77,3,73,somewhat disagree,everyone,definitely,40,40-44,f, 4 year degree,suburb,4,TRUE,no,no,yes
